Full Name,Email Address,Phone Number,Date of Birth,Address,PIN Code,District,State,Participant Type,Institution,Section(Batch)
JUWAN,juwan@gmail.com,9512345678,01/01/2009,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,02/01/2010,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,03/01/2011,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,04/01/2012,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
AISHA ADEELA,aishaadeela@gmail.com,9512345682,04/01/2013,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,01/01/2009,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
AJWA FATHIMA. N,ajwafathima.@gmail.com,9512345684,02/01/2010,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,03/01/2011,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
SONA MARIYAM,sonamariyam@gmail.com,9512345686,04/01/2012,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,04/01/2013,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
ANINDITA. P,anindita.p@gmail.com,9512345688,01/01/2009,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,02/01/2010,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,03/01/2011,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,04/01/2012,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
NIDA MEHARIN C K,nidameharin@gmail.com,9512345692,04/01/2013,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
FATHIMA HAIZA. P,fathimahaiza.@gmail.com,9512345693,01/01/2009,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
LOOMI KADHEEJA. V.T,loomikadheeja.@gmail.com,9512345694,02/01/2010,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
AJWA FATHIMA. C.K,ajwafathima.@gmail.com,9512345695,03/01/2011,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
AYSHA SANA P C,ayshasana@gmail.com,9512345696,04/01/2012,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
MUHAMMED MIQDAD,muhammedmiqdad@gmail.com,9512345697,04/01/2013,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
AMINA HANIYA N K,aminahaniya@gmail.com,9512345698,01/01/2009,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
SAFA ABDUL RAZAK PAZHEDATH,safaabdul@gmail.com,9512345699,02/01/2010,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
MUHAMMED SHAROZ  P P,muhammedsharoz@gmail.com,9512345700,03/01/2011,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
ADEEBA SHAMEER. C.K,adeebashameer.@gmail.com,9512345701,04/01/2012,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
ADEELA SHAMEER. C.K,adeelashameer.@gmail.com,9512345702,04/01/2013,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
AYISHA  HADIYA. T.K,ayisha@gmail.com,9512345703,01/01/2009,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
FATHIMA ZAHRA T P,fathimazahra@gmail.com,9512345704,02/01/2010,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
DIYA SAFEEDA P K,diyasafeeda@gmail.com,9512345705,03/01/2011,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Leader
FATHIMA SALWA,fathimasalwa@gmail.com,9512345706,04/01/2012,"Poonoor - Narikkuni Rd, Kanjiramukku, Kerala ",673572,Kozhikode,Kerala,Student,Vadi Husna Public School,Builder
