Student Name,Student Email Id,student mobile number,Date of submission(dd-mm-yyyy format),Assignment Title,Did you made your bed?,Did you waste any food today?,How many hours did you study?,Do you feel to share something with us today?
JUWAN,juwan@gmail.com,9512345678,01/11/2024 21:12:35,Self Awareness,No,No,2,Study continue till 10
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,01/11/2024 21:26:29,Self Awareness,No,No,1,Feeling lonely in  school don t any best friends in class room
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,01/11/2024 21:39:46,Self Awareness,No,No,3,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,01/11/2024 22:20:25,Self Awareness,No,No,1,No
AISHA ADEELA,aishaadeela@gmail.com,9512345682,01/11/2024 22:25:30,Self Awareness,No,No,1,I was happy today 
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,02/11/2024 09:07:55,Self Awareness,No,No,1,No
AJWA FATHIMA. N,ajwafathima.@gmail.com,9512345684,02/11/2024 09:45:36,Self Awareness,Yes,No,4,Not really
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,02/11/2024 12:03:12,Self Awareness,No,No,3,Yes
SONA MARIYAM,sonamariyam@gmail.com,9512345686,02/11/2024 13:14:10,Self Awareness,No,No,1,Yes
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,02/11/2024 15:06:48,Self Awareness,Yes,No,1,Iam so happy because i study and i help my mother in work
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,02/11/2024 20:57:25,Self Awareness,Yes,Yes,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,02/11/2024 21:24:24,Self Awareness,No,No,1,No 
AISHA ADEELA,aishaadeela@gmail.com,9512345682,02/11/2024 21:55:10,Self Awareness,Yes,No,1,Today I was happy and sad
JUWAN,juwan@gmail.com,9512345678,02/11/2024 22:26:52,Self Awareness,Yes,No,3,
ANINDITA. P,anindita.p@gmail.com,9512345688,02/11/2024 22:41:54,Self Awareness,No,No,2,No
SONA MARIYAM,sonamariyam@gmail.com,9512345686,03/11/2024 18:05:50,Self Awareness,No,No,2,Yes
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,03/11/2024 18:29:39,Self Awareness,Yes,No,3,No
AISHA ADEELA,aishaadeela@gmail.com,9512345682,03/11/2024 19:50:26,Self Awareness,Yes,No,1,I am happy 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,03/11/2024 20:15:42,Self Awareness,Yes,No,1,"Tommorow exam i study
"
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,03/11/2024 20:59:55,Self Awareness,Yes,No,3,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,03/11/2024 21:46:06,Self Awareness,Yes,No,1,"No
"
JUWAN,juwan@gmail.com,9512345678,03/11/2024 22:20:41,Self Awareness,Yes,No,2,
JUWAN,juwan@gmail.com,9512345678,03/11/2024 22:21:52,Self Awareness,Yes,No,2,
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,03/11/2024 23:08:56,Self Awareness,Yes,No,3,I eat a special food
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,03/11/2024 23:19:46,Self Awareness,No,No,2,No
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,04/11/2024 07:09:57,Self Awareness,Yes,No,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,04/11/2024 18:29:12,Self Awareness,No,No,2,"Yes ,of course l like to share my day at my school today l had exam l wrote every thing l study but when it come in my exam results l get low marks l study hard to make my parents proud but it doesn’t come in the answer sheet l get like 9,6,3 marks l study hardly this time l wish l could make my parents proud of me and my luck is my parents didn’t care which mark l get they know that l study harder 🙂"
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,04/11/2024 19:40:47,Self Awareness,No,No,3,No
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,04/11/2024 20:59:47,Self Awareness,No,No,3,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,04/11/2024 21:01:28,Self Awareness,Yes,No,1,Today is our exam started it was simple i wrote full but three are wrong computer is todays exam tommorow malayalam i study full i will get full mark
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,04/11/2024 21:52:48,Self Awareness,No,No,3,No friends they don't like me 
ANINDITA. P,anindita.p@gmail.com,9512345688,04/11/2024 22:04:05,Self Awareness,Yes,No,2,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,04/11/2024 22:04:33,Self Awareness,No,Yes,3,Nothing 
AISHA ADEELA,aishaadeela@gmail.com,9512345682,04/11/2024 22:26:13,Self Awareness,Yes,No,1,Happy 
JUWAN,juwan@gmail.com,9512345678,04/11/2024 22:43:41,Self Awareness,Yes,No,4,Nothing 
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,04/11/2024 23:11:48,Self Awareness,Yes,Yes,3,Today my exam was very good .I write full but one answer was incorrect .  And one thing happend in my class . That is i have a friend she was not my best friend . Some time she will never talk to me .she have a friend but she say to me she have no friend . But i know that he was lying
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,05/11/2024 08:37:05,Self Awareness,No,No,1,Iam not well 3 day l have fever
SONA MARIYAM,sonamariyam@gmail.com,9512345686,05/11/2024 18:54:03,Self Awareness,No,No,2,Not today
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,05/11/2024 20:29:21,Self Awareness,No,No,2,
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,05/11/2024 21:03:43,Self Awareness,Yes,No,1,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,05/11/2024 21:04:19,Self Awareness,No,No,2,
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,05/11/2024 21:12:13,Self Awareness,Yes,No,1,"Today I did go school because I have fever that why I Did study  I study 1 hour only 
"
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,05/11/2024 21:14:52,Self Awareness,Yes,No,1,"I have fever then i di
d go to school "
LIYA FATHIMA. A.M,liyafathima.@gmail.com,9512345690,05/11/2024 21:16:20,Self Awareness,Yes,No,1,I have Fever 
AISHA ADEELA,aishaadeela@gmail.com,9512345682,05/11/2024 21:35:37,Self Awareness,No,No,1,Happy and sad 
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,05/11/2024 21:36:50,Self Awareness,Yes,No,2,I only left some food
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,05/11/2024 22:25:20,Self Awareness,No,No,4,"Frnd is calling me bad words
"
JUWAN,juwan@gmail.com,9512345678,05/11/2024 22:37:30,Self Awareness,Yes,No,4,Sacred for exam
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,05/11/2024 22:45:52,Self Awareness,No,Yes,3,No
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,05/11/2024 23:15:33,Self Awareness,No,No,2,Tommorow i have exam i study but it is very teff i can take this to my memory
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,05/11/2024 23:17:22,Self Awareness,No,No,4,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,06/11/2024 20:41:07,Self Awareness,Yes,No,1,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,06/11/2024 21:01:41,Self Awareness,Yes,No,3,
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,06/11/2024 21:09:37,Self Awareness,No,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,06/11/2024 21:34:30,Self Awareness,Yes,No,2,"
"
AISHA ADEELA,aishaadeela@gmail.com,9512345682,06/11/2024 21:42:50,Self Awareness,No,No,1,Happy and sad
JUWAN,juwan@gmail.com,9512345678,06/11/2024 21:51:42,Self Awareness,Yes,No,3,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,06/11/2024 21:53:07,Self Awareness,No,No,2,Yes 
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,06/11/2024 22:05:39,Self Awareness,Yes,No,2,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,06/11/2024 22:50:40,Self Awareness,Yes,No,5,
ANINDITA. P,anindita.p@gmail.com,9512345688,06/11/2024 22:59:52,Self Awareness,No,No,2,
INSHA FATHIMA M,inshafathima@gmail.com,9512345689,06/11/2024 23:07:32,Self Awareness,Yes,No,3,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,06/11/2024 23:12:58,Self Awareness,No,No,4,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,07/11/2024 20:50:47,Self Awareness,No,No,5,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,07/11/2024 21:02:13,Self Awareness,No,No,3,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,07/11/2024 21:32:56,Self Awareness,No,Yes,2,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,07/11/2024 21:33:20,Self Awareness,No,No,3,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,07/11/2024 21:54:49,Self Awareness,No,No,5,No
JUWAN,juwan@gmail.com,9512345678,07/11/2024 22:12:29,Self Awareness,Yes,No,5,
ANINDITA. P,anindita.p@gmail.com,9512345688,07/11/2024 22:16:13,Self Awareness,No,No,2,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,07/11/2024 22:33:11,Self Awareness,Yes,No,4,No
SONA MARIYAM,sonamariyam@gmail.com,9512345686,08/11/2024 21:10:21,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,08/11/2024 21:31:15,Self Awareness,No,No,1,No no study 
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,08/11/2024 22:29:50,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,08/11/2024 22:46:37,Self Awareness,No,No,5,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,08/11/2024 23:02:53,Self Awareness,Yes,No,1,No
AISHA ADEELA,aishaadeela@gmail.com,9512345682,09/11/2024 09:30:55,Self Awareness,No,No,1,Happy and sad
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,09/11/2024 13:50:16,Self Awareness,Yes,No,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,09/11/2024 21:04:54,Self Awareness,No,No,1,
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,09/11/2024 21:09:48,Self Awareness,Yes,No,2,Y
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,09/11/2024 21:14:01,Self Awareness,Yes,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,09/11/2024 21:51:53,Self Awareness,Yes,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,09/11/2024 22:06:04,Self Awareness,No,No,1,No
JUWAN,juwan@gmail.com,9512345678,09/11/2024 22:19:15,Self Awareness,Yes,No,4,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,09/11/2024 23:25:54,Self Awareness,No,No,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,09/11/2024 23:31:48,Self Awareness,Yes,No,1,No but didn't study because I am in hospital 
AISHA ADEELA,aishaadeela@gmail.com,9512345682,10/11/2024 10:05:39,Self Awareness,No,No,1,Sad
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,10/11/2024 21:06:05,Self Awareness,Yes,No,3,
JUWAN,juwan@gmail.com,9512345678,10/11/2024 21:54:45,Self Awareness,Yes,No,3,
ANINDITA. P,anindita.p@gmail.com,9512345688,10/11/2024 22:33:21,Self Awareness,No,No,3,No
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,10/11/2024 22:43:45,Self Awareness,No,No,3,No
AISHA ADEELA,aishaadeela@gmail.com,9512345682,11/11/2024 06:03:53,Self Awareness,No,No,1,Happy 
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,11/11/2024 06:52:24,Self Awareness,Yes,No,3,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,11/11/2024 19:58:06,Self Awareness,No,No,5,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,11/11/2024 20:14:35,Self Awareness,Yes,No,2,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,11/11/2024 21:25:55,Self Awareness,No,No,3,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,11/11/2024 21:28:53,Self Awareness,Yes,No,1,No  I am in hospital 
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,11/11/2024 21:31:21,Self Awareness,Yes,No,1,No I am in hospital 
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,11/11/2024 21:32:51,Self Awareness,Yes,No,2,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,11/11/2024 21:39:01,Self Awareness,Yes,No,2,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,11/11/2024 21:44:44,Self Awareness,No,No,2,
JUWAN,juwan@gmail.com,9512345678,11/11/2024 22:19:15,Self Awareness,Yes,No,3,
